# m/z    Intensity
580.175100    9018.000000
581.185400    2721.000000
582.181200    3627.000000
583.177900    21643.000000
584.175500    26382.000000
585.173900    33953.000000
586.173100    59738.000000
587.173200    15420.000000
588.174200    32244.000000
589.176000    8543.000000
590.178700    1447.000000
591.182200    233.000000
594.151400    114.000000
