wavenumber,normalized_height,intensity
3407.119,0.291,weak
2954.411,0.407,medium
2902.343,0.414,medium
1906.289,1.0,strong
1588.574,0.97,strong
1463.706,0.4,medium
1393.317,0.216,weak
1370.658,0.249,weak
1256.396,0.299,weak
1180.222,0.271,weak
1022.087,0.192,weak
937.717,0.089,weak
849.9717,0.223,weak
810.4382,0.149,weak
733.2995,0.11,weak
620.4842,0.152,weak
538.5244,0.11,weak
