# m/z    Intensity
553.383000    275.000000
554.160300    10177.000000
555.162700    2835.000000
556.150900    7447.000000
557.155100    26315.000000
558.160200    31292.000000
559.151100    49473.000000
560.158000    79329.000000
561.150700    30130.000000
562.159400    59549.000000
563.153900    15525.000000
564.149200    13574.000000
565.145500    3112.000000
566.157700    472.000000
