x,y,height,prominence
589,0.0189531403406608,0.0189531403406608,0.007513425007669298
616,0.0190214273872858,0.0190214273872858,0.0195265915466283
715,0.0146393630028842,0.0146393630028842,0.008442172085836
808,0.0314717926466518,0.0314717926466518,0.008300884121680702
841,0.0398679728927805,0.0398679728927805,0.0405637018272901
934,0.0239368432421743,0.0239368432421743,0.0202768830454086
955,0.0186825505385372,0.0186825505385372,0.0081141571075565
1018,0.032435506670328,0.032435506670328,0.025502675639384097
1177,0.0581991900695644,0.0581991900695644,0.053677509990219904
1273,0.0232979763499822,0.0232979763499822,0.009555909012365901
1366,0.0640172430197825,0.0640172430197825,0.0399239219319385
1390,0.0528043803630764,0.0528043803630764,0.010779995976148198
1456,0.0921638880116185,0.0921638880116185,0.088220057333318
1564,0.0390641314740228,0.0390641314740228,0.011115658728450203
1597,0.0465324083439856,0.0465324083439856,0.0223617277426092
1927,0.1621783716419303,0.1621783716419303,0.1630478028007451
2086,0.0229877200101721,0.0229877200101721,0.028270798856977898
2113,0.0216607028981471,0.0216607028981471,0.0081381479679872
2329,0.0263623541026528,0.0263623541026528,0.0160592539109409
2866,0.093657067784254,0.093657067784254,0.09422938386550951
2947,0.06698109175091,0.06698109175091,0.008383535873514196
2995,0.031153944711026,0.031153944711026,0.011068437662849002
