4.999550e+002,4.341793e-002
5.004372e+002,4.298687e-002
5.009193e+002,4.266447e-002
5.014014e+002,4.250522e-002
5.018835e+002,4.236852e-002
5.023656e+002,4.254038e-002
5.028477e+002,4.286786e-002
5.033299e+002,4.334135e-002
5.038120e+002,4.395778e-002
5.042941e+002,4.459146e-002
5.047762e+002,4.513131e-002
5.052583e+002,4.547892e-002
5.057404e+002,4.589091e-002
5.062226e+002,4.582545e-002
5.067047e+002,4.574689e-002
5.071868e+002,4.556011e-002
5.076689e+002,4.542900e-002
5.081510e+002,4.530512e-002
5.086331e+002,4.525876e-002
5.091153e+002,4.534250e-002
5.095974e+002,4.530294e-002
5.100795e+002,4.490871e-002
5.105616e+002,4.446832e-002
5.110437e+002,4.445478e-002
5.115258e+002,4.397668e-002
5.120079e+002,4.361743e-002
5.124901e+002,4.359053e-002
5.129722e+002,4.383129e-002
5.134543e+002,4.388799e-002
5.139364e+002,4.408303e-002
5.144185e+002,4.435654e-002
5.149006e+002,4.462890e-002
5.153828e+002,4.482039e-002
5.158649e+002,4.488509e-002
5.163470e+002,4.499779e-002
5.168291e+002,4.511711e-002
5.173112e+002,4.508219e-002
5.177933e+002,4.540875e-002
5.182755e+002,4.551166e-002
5.187576e+002,4.616315e-002
5.192397e+002,4.705573e-002
5.197218e+002,4.793113e-002
5.202039e+002,4.863474e-002
5.206860e+002,4.905638e-002
5.211682e+002,4.916472e-002
5.216503e+002,4.900286e-002
5.221324e+002,4.867313e-002
5.226145e+002,4.822813e-002
5.230966e+002,4.798428e-002
5.235787e+002,4.781553e-002
5.240609e+002,4.760319e-002
5.245430e+002,4.755681e-002
5.250251e+002,4.754671e-002
5.255072e+002,4.754794e-002
5.259893e+002,4.778436e-002
5.264714e+002,4.814768e-002
5.269536e+002,4.861663e-002
5.274357e+002,4.896689e-002
5.279178e+002,4.939798e-002
5.283999e+002,4.983597e-002
5.288820e+002,5.016019e-002
5.293641e+002,5.036433e-002
5.298463e+002,5.047996e-002
5.303284e+002,5.056202e-002
5.308105e+002,5.066298e-002
5.312926e+002,5.081902e-002
5.317747e+002,5.103703e-002
5.322568e+002,5.129983e-002
5.327390e+002,5.157837e-002
5.332211e+002,5.185205e-002
5.337032e+002,5.212277e-002
5.341853e+002,5.240452e-002
5.346674e+002,5.272039e-002
5.351495e+002,5.309276e-002
5.356317e+002,5.352362e-002
5.361138e+002,5.398738e-002
5.365959e+002,5.443107e-002
5.370780e+002,5.479168e-002
5.375601e+002,5.501915e-002
5.380422e+002,5.508190e-002
5.385244e+002,5.498429e-002
5.390065e+002,5.493842e-002
5.394886e+002,5.479946e-002
5.399707e+002,5.463831e-002
5.404528e+002,5.464418e-002
5.409349e+002,5.488710e-002
5.414171e+002,5.519604e-002
5.418992e+002,5.579723e-002
5.423813e+002,5.659187e-002
5.428634e+002,5.738511e-002
5.433455e+002,5.805597e-002
5.438276e+002,5.857644e-002
5.443098e+002,5.875080e-002
5.447919e+002,5.862433e-002
5.452740e+002,5.819422e-002
5.457561e+002,5.762186e-002
5.462382e+002,5.697154e-002
5.467203e+002,5.617051e-002
5.472025e+002,5.533978e-002
5.476846e+002,5.450396e-002
5.481667e+002,5.368916e-002
5.486488e+002,5.297711e-002
5.491309e+002,5.223744e-002
5.496130e+002,5.154114e-002
5.500952e+002,5.090696e-002
