x,.,.(SD)
499,-6.617565571664165e-7,0
502,-0.0006692358467977673,0
505,0.0007801234033563969,0
508,0.0005913829015324828,0
511,-0.0001781261423670872,0
514,-0.0006957289345096091,0
517,-0.00047207392811713706,0
520,0.0010068769827074084,0
523,0.000293864590439784,0
526,-0.00018080322669142618,0
529,0.0009755703644287083,0
532,0.0015621030979260846,0
535,0.002931313713112307,0
538,0.004338267549813112,0
541,0.004227019119378007,0
544,0.006144124900288423,0
547,0.005074315944560228,0
550,0.002382094974280135,0
553,0.0018067757350327272,0
556,0.0036875293728496784,0
559,0.003886948752631472,0
562,0.004507472632331936,0
565,0.007607370103568489,0
568,0.010179915199656794,0
571,0.010758375772329602,0
574,0.012001788228006207,0
577,0.012261371072457236,0
580,0.012255652783096562,0
583,0.014991117662853852,0
586,0.017531163895939523,0
589,0.01895314034066082,0
592,0.01687992101609336,0
595,0.013690547504354346,0
598,0.013414380357584162,0
601,0.017581874749154652,0
604,0.018666638782508953,0
607,0.012945676432559112,0
610,0.011439715332991506,0
613,0.015130209487213433,0
616,0.01902142738728589,0
619,0.017464156191408307,0
622,0.014444423639632152,0
625,0.007735032864043874,0
628,0.003046933113683337,0
631,0.0015522259920311907,0
634,0.0006688415426390338,0
637,0.000883867563795598,0
640,0.00003635264473825173,0
643,-0.00019967988114770368,0
646,-0.0005051641593425337,0
649,0.00005891520923991302,0
652,0.0018256683718020214,0
655,0.0013606149821976956,0
658,0.002066075977838889,0
661,0.0017899920121502099,0
664,0.0013118212877856479,0
667,0.0019685766459613873,0
670,0.002699416651901488,0
673,0.002647812434678888,0
676,0.0026718996871312583,0
679,0.003785289431362255,0
682,0.002960960636993884,0
685,0.00339212195399518,0
688,0.003921531508805155,0
691,0.0038858568898996987,0
694,0.0037465518420760134,0
697,0.004872882543515,0
700,0.00604242198058652,0
703,0.0077076470278947444,0
706,0.009226247226195059,0
709,0.010840511451344053,0
712,0.01308767125549641,0
715,0.014639363002884263,0
718,0.013214784376980052,0
721,0.008941552351104477,0
724,0.006980599338740138,0
727,0.006337768498034575,0
730,0.006770989652186112,0
733,0.00641464576859197,0
736,0.006197190917048254,0
739,0.0067122684574610165,0
742,0.008823433057387985,0
745,0.010192779018170854,0
748,0.011778781858900899,0
751,0.014398177415065373,0
754,0.016566381114506874,0
757,0.018047304938742872,0
760,0.018474098026522653,0
763,0.019091326727407376,0
766,0.0177874469010516,0
769,0.016582821230776274,0
772,0.016796913572308236,0
775,0.017859467707168057,0
778,0.018749952717071132,0
781,0.019266274460678485,0
784,0.019230557374886482,0
787,0.01978425261933194,0
790,0.02047251048947643,0
793,0.021218011205678188,0
796,0.020616611424399637,0
799,0.02208139720398681,0
802,0.026197443903062327,0
805,0.03042189970969018,0
808,0.03147179264665184,0
811,0.029799454671205657,0
814,0.027337844925238997,0
817,0.026960335718633863,0
820,0.028379709230513455,0
823,0.028596352715209657,0
826,0.027488105852854897,0
829,0.024073336766449228,0
832,0.023170908524971112,0
835,0.027488599011752494,0
838,0.03539040827004751,0
841,0.03986797289278053,0
844,0.037740757561030264,0
847,0.03495642963377076,0
850,0.021248986566246957,0
853,0.00614993098145495,0
856,0.00038584355921748094,0
859,-0.0008694311588148798,0
862,0.0012374502658435442,0
865,0.001198031519756082,0
868,0.0007269509685331019,0
871,0.0008451711331444174,0
874,0.0007762887575575607,0
877,0.0005579927202680507,0
880,0.00032026936920221067,0
883,0.0006906695591314024,0
886,0.0015904424650474997,0
889,0.001655414038795948,0
892,0.002404863393686309,0
895,0.0034337612864175087,0
898,0.0031129745044563774,0
901,0.004001409009515829,0
904,0.004451309051560241,0
907,0.004566639635415867,0
910,0.0056753440114756335,0
913,0.006577137564838304,0
916,0.007469171937775938,0
919,0.008538758125345523,0
922,0.010191459105928287,0
925,0.013797461366853536,0
928,0.018365173215689982,0
931,0.022549779727324335,0
934,0.023936843242174384,0
937,0.020323905201069373,0
940,0.015616145666777078,0
943,0.012153745701552334,0
946,0.010568393430980793,0
949,0.012854274936210105,0
952,0.017086234775982367,0
955,0.01868255053853726,0
958,0.013265475544262929,0
961,0.007793296983598014,0
964,0.005226512566226724,0
967,0.003981545501372413,0
970,0.0036599601967657893,0
973,0.00423922533219057,0
976,0.00484212054129779,0
979,0.0063273367479076085,0
982,0.007299911601517467,0
985,0.008390043412152123,0
988,0.008606947395840413,0
991,0.009622467557760538,0
994,0.01187701152990013,0
997,0.012475397683808809,0
1000,0.01293389129539614,0
1003,0.014603676050331497,0
1006,0.01771640832528592,0
1009,0.021515313161128202,0
1012,0.02534222126293663,0
1015,0.030071435739905186,0
1018,0.03243550667032805,0
1021,0.02792345261408415,0
1024,0.02196203068397945,0
1027,0.01874797681655146,0
1030,0.014813801164301744,0
1033,0.010329787058799418,0
1036,0.008158614160799185,0
1039,0.006932831030943959,0
1042,0.007094320092120782,0
1045,0.007728748087430343,0
1048,0.007890235259937208,0
1051,0.008560045277150397,0
1054,0.00925783835065526,0
1057,0.00990537918685095,0
1060,0.009587624752076728,0
1063,0.009392773504084616,0
1066,0.008859396936242842,0
1069,0.009121208437547585,0
1072,0.009518124669835298,0
1075,0.009947142634487049,0
1078,0.01041892674965907,0
1081,0.010763012054744702,0
1084,0.011982787574927142,0
1087,0.01332331208134897,0
1090,0.014053524545689021,0
1093,0.014824703492321767,0
1096,0.016232909918104527,0
1099,0.017602209634475438,0
1102,0.01728764382932533,0
1105,0.015381130288373273,0
1108,0.013866415370430051,0
1111,0.01393744066863762,0
1114,0.014297145011545418,0
1117,0.014564588192211021,0
1120,0.015275674454693935,0
1123,0.015428556296798195,0
1126,0.016212235313003854,0
1129,0.01718660946960901,0
1132,0.01823851602639992,0
1135,0.019224912066635125,0
1138,0.020941011497997344,0
1141,0.021649458260613503,0
1144,0.022559871446131592,0
1147,0.024640015027943718,0
1150,0.026576038919249246,0
1153,0.02903716785710983,0
1156,0.032545866320283064,0
1159,0.03745623354636251,0
1162,0.04099281420271985,0
1165,0.04360170294525665,0
1168,0.0464444747412782,0
1171,0.05017917828467261,0
1174,0.05501533391338721,0
1177,0.05819919006956442,0
1180,0.05374962916513615,0
1183,0.04015484343340521,0
1186,0.025410802189964655,0
1189,0.017736780270430064,0
1192,0.014406666907976588,0
1195,0.013912118291285394,0
1198,0.01336702928419195,0
1201,0.0099391045515283,0
1204,0.006810256604704749,0
1207,0.00524315961632347,0
1210,0.004521680079344501,0
1213,0.004540780016040861,0
1216,0.004904225982669149,0
1219,0.0056263742548678854,0
1222,0.006669487895530528,0
1225,0.0066281489371236455,0
1228,0.007110245839023243,0
1231,0.008275726875816476,0
1234,0.00879319724487469,0
1237,0.009436763874571064,0
1240,0.010796917270601244,0
1243,0.011807222379651641,0
1246,0.012372664176030973,0
1249,0.01294884547522893,0
1252,0.014019975935142747,0
1255,0.015327292555652574,0
1258,0.016392862578183155,0
1261,0.016895167685012147,0
1264,0.01746572726033375,0
1267,0.019331563018158228,0
1270,0.02162470808677746,0
1273,0.023297976349982295,0
1276,0.023179211882722924,0
1279,0.021389627646074716,0
1282,0.018453799668523247,0
1285,0.01565793724157643,0
1288,0.01385351162527501,0
1291,0.01374206733761635,0
1294,0.014055835059157149,0
1297,0.014390402517109505,0
1300,0.014730858195807313,0
1303,0.014800601457071263,0
1306,0.014797221537067336,0
1309,0.014861635516979733,0
1312,0.01546376830946186,0
1315,0.015511675594209377,0
1318,0.015712902252668862,0
1321,0.015803352209397936,0
1324,0.016521459105627724,0
1327,0.017309848981026645,0
1330,0.018035673676640367,0
1333,0.01871902735655012,0
1336,0.02005141506907858,0
1339,0.022058828252969745,0
1342,0.022651293063491094,0
1345,0.024097376559665158,0
1348,0.026594299903352638,0
1351,0.029795293811880424,0
1354,0.03482151824821423,0
1357,0.04319218935963262,0
1360,0.053873359985533366,0
1363,0.06048030199818578,0
1366,0.06401724301978258,0
1369,0.06205101471154697,0
1372,0.053551829912286755,0
1375,0.044936580411892094,0
1378,0.04339867284510522,0
1381,0.04221922655999912,0
1384,0.04202438438692826,0
1387,0.047643083914868954,0
1390,0.05280438036307648,0
1393,0.04968043667836018,0
1396,0.044285577125461946,0
1399,0.037204988901802585,0
1402,0.03608648633542985,0
1405,0.030162933071133886,0
1408,0.024093321087844052,0
1411,0.02491312805106167,0
1414,0.02756410499693653,0
1417,0.03136834491985546,0
1420,0.032848975709227346,0
1423,0.034500791395229345,0
1426,0.03521917823286678,0
1429,0.03708207579972629,0
1432,0.040365622130988925,0
1435,0.04540663878021936,0
1438,0.05050160020147217,0
1441,0.05500766915303005,0
1444,0.06074253061472413,0
1447,0.06798531501357424,0
1450,0.0761930112627598,0
1453,0.08517149219894578,0
1456,0.0921638880116185,0
1459,0.08803115284556548,0
1462,0.07422072577514648,0
1465,0.06045629911549225,0
1468,0.05554626478936011,0
1471,0.05554186923634012,0
1474,0.054315545054895414,0
1477,0.049367658184007415,0
1480,0.04224562652020318,0
1483,0.033024540798155894,0
1486,0.02180060338472164,0
1489,0.011147699147995996,0
1492,0.004222964381676541,0
1495,0.003943830678300509,0
1498,0.004144504918492288,0
1501,0.005482634396954224,0
1504,0.009864813464564099,0
1507,0.012162732729176281,0
1510,0.010797642982951956,0
1513,0.011185536594586412,0
1516,0.012867395390863887,0
1519,0.013636158087472814,0
1522,0.015047178028534754,0
1525,0.015465073650214194,0
1528,0.014477905927151083,0
1531,0.01617249971534377,0
1534,0.01701566188156306,0
1537,0.02047543216604773,0
1540,0.02205261178928748,0
1543,0.022459964947460286,0
1546,0.021180555412870193,0
1549,0.023702479182929254,0
1552,0.027060443947495464,0
1555,0.03345528621846964,0
1558,0.03803005072383153,0
1561,0.03873380226074733,0
1564,0.039064131474022844,0
1567,0.03495474424739153,0
1570,0.029009891074027714,0
1573,0.030548088158537597,0
1576,0.028055677581476337,0
1579,0.027948472745572602,0
1582,0.029061569378323653,0
1585,0.0334398131831603,0
1588,0.037805270346287556,0
1591,0.04142389265211977,0
1594,0.0441251193499038,0
1597,0.046532408343985615,0
1600,0.04596726204495373,0
1603,0.03766806327796369,0
1606,0.029325764596471484,0
1609,0.02497226065617607,0
1612,0.024170680601376456,0
1615,0.02493608635112527,0
1618,0.02567598427365929,0
1621,0.027114470528372306,0
1624,0.026229983997558798,0
1627,0.02704573287616598,0
1630,0.026609032550481065,0
1633,0.028730492450438568,0
1636,0.028517634842567006,0
1639,0.027486081294232013,0
1642,0.027444618122944252,0
1645,0.02921418781120699,0
1648,0.030329671971804095,0
1651,0.02960584011532342,0
1654,0.025997329504532454,0
1657,0.02674872832332859,0
1660,0.027729596044442518,0
1663,0.027766117626245937,0
1666,0.029174560471695463,0
1669,0.028760802456259848,0
1672,0.029171931794656738,0
1675,0.02583877279973459,0
1678,0.02825732746893212,0
1681,0.030843158544961155,0
1684,0.028437219344384812,0
1687,0.02750173124431929,0
1690,0.025121768049954512,0
1693,0.02615614362884879,0
1696,0.027970022091436404,0
1699,0.027137542417495483,0
1702,0.02820015507135457,0
1705,0.02701164707654667,0
1708,0.025566726863799034,0
1711,0.026635055680023934,0
1714,0.029899120580980352,0
1717,0.027983754051192338,0
1720,0.02715332845783996,0
1723,0.02603183810209163,0
1726,0.025730369747410494,0
1729,0.028813270464320237,0
1732,0.03135551583534804,0
1735,0.029307764728723356,0
1738,0.029658652857661786,0
1741,0.028241371198713044,0
1744,0.029326864116098292,0
1747,0.031454549211235236,0
1750,0.031322366827438886,0
1753,0.030722870266194597,0
1756,0.02979867999395978,0
1759,0.030823282845990535,0
1762,0.030659261342291556,0
1765,0.03233070310860587,0
1768,0.03452626761538886,0
1771,0.035693925465505275,0
1774,0.03438616787361057,0
1777,0.03480931472210953,0
1780,0.03551385447042882,0
1783,0.035686869634637,0
1786,0.03434876926796351,0
1789,0.034845160717386,0
1792,0.03665420253813422,0
1795,0.03657811463065017,0
1798,0.03687199810486882,0
1801,0.03694983849415484,0
1804,0.036587108548966955,0
1807,0.03699916066570517,0
1810,0.03736059526528435,0
1813,0.03731743207732774,0
1816,0.03653077937428294,0
1819,0.03732449055497285,0
1822,0.038297197587575334,0
1825,0.03921224245945095,0
1828,0.039989272550055015,0
1831,0.04077981156639478,0
1834,0.040428569092705785,0
1837,0.03793986574418009,0
1840,0.04103794073379395,0
1843,0.04337599381519675,0
1846,0.043326102716449544,0
1849,0.04175878805217362,0
1852,0.04290577599454452,0
1855,0.043966192069019035,0
1858,0.04455790003540954,0
1861,0.04674842402901531,0
1864,0.047984216481643666,0
1867,0.049522575734268534,0
1870,0.05217848741777554,0
1873,0.05342022159668708,0
1876,0.05570645406914616,0
1879,0.05999990421715157,0
1882,0.06296007097771464,0
1885,0.06637909551984492,0
1888,0.07020971472967494,0
1891,0.0733428285398514,0
