Wavenumbercm-1,2.72e+01 M,2.18e+01 M,1.81e+01 M,1.36e+01 M,1.09e+01 M,9.07e+00 M,6.80e+00 M,5.44e+00 M,4.53e+00 M,3.63e+00 M,2.72e+00 M
3000,-0.05299465501649512,-0.0774466868822278,-0.0577291009350003,-0.0570037192549476,-0.05801519172286611,-0.06365876103636035,-0.07713098705509311,-0.06203121531352284,-0.0753484266290437,-0.07489960433477891,-0.08002128658338127
2998,0.0006214605059697591,-0.002912281545284023,-0.003974075624917605,0.01639601895548198,0.012022482621516329,0.011096472976488771,-0.008440064166605367,0.016960763369598925,-0.004585289148026548,0.008691257851302597,0.006869540475793202
2996,0.06002194754930243,0.08501710085855167,0.045228980400402095,0.08875770922587704,0.09531890085939426,0.09444537180742917,0.07867804909340743,0.10607468621969302,0.10514925166208271,0.09282752982008069,0.13178016186422448
2994,0.1078353721590856,0.15551960561782824,0.0849291926274166,0.13425555469130437,0.16201467863864755,0.15094109967631236,0.15552878948685367,0.17642728084133097,0.2077429370859246,0.14984920031577018,0.23539492930026867
2992,0.13478538336779208,0.1970779298881609,0.11971662439753315,0.15405126362848348,0.19383096449554116,0.18288799477068585,0.20627337880593308,0.21680118289426908,0.26202529393705953,0.1716922215429431,0.2689017531457323
2990,0.14624452744313515,0.21574681831826786,0.15396706089667814,0.16750602035014142,0.19781390704367086,0.2093964877218124,0.2311127715680818,0.2411489577815404,0.2754445376922879,0.1678861216551281,0.24286874954015172
2988,0.1532940925710594,0.22095952562531415,0.18261947147961508,0.18620771215351192,0.19272098821523628,0.23203003553444762,0.23830196732579217,0.2627427818204155,0.2789958416422788,0.16227874091399408,0.21434638528434632
2986,0.16406720579602796,0.22307005600737445,0.20196547952356056,0.2086319246556962,0.19614961025733751,0.2452604372128391,0.24476871914672127,0.2827282909411353,0.28761133821262835,0.18642237520143684,0.23010631914411322
2984,0.18315201606916923,0.2327800941287342,0.2183058480619403,0.23227171934794058,0.21667443754828947,0.2604477376680128,0.27150096402265544,0.306061001879733,0.3067832200339895,0.25168592580835775,0.29208347234767706
2982,0.2054362049847768,0.2452966363646976,0.23001365570543025,0.24940257094464224,0.23933582953333268,0.28188383956863783,0.31248739641479756,0.32774195902363173,0.3376850102825395,0.31227548944143296,0.35200049799989774
2980,0.21671672668917472,0.24247246719187945,0.22461027738593115,0.24601684051402972,0.23659261259048509,0.28666264937461167,0.33236296933945814,0.32323582303988824,0.3610850994427667,0.30436155824006694,0.3502592767973222
2978,0.21299189036516825,0.2233501970771093,0.20605589468931318,0.22573347196056506,0.20929417838204228,0.2627649311276994,0.3150011753323868,0.2886590959831062,0.3519914995584585,0.2354160431339625,0.28340206808935636
2976,0.20927763410626485,0.21387304313585542,0.2015045761002111,0.21779466621115823,0.19451394237539882,0.23929833285567703,0.2876230577774917,0.2633298499592727,0.31936752174199035,0.18443108019022916,0.21493236401845855
2974,0.21798709058539276,0.232008113473876,0.22361209663877532,0.23789892360048823,0.21148409334322682,0.2450098450147366,0.2759122109544535,0.2756517717040413,0.2955133123566833,0.19327318743303196,0.20299640681029357
2972,0.23235210100689432,0.2632926675111714,0.2498179713788982,0.26485776624727075,0.2336656749610573,0.26591409375242414,0.2704676065048173,0.3010153883538971,0.29353340572914033,0.22335124010193408,0.24692495560328123
2970,0.24246039283355617,0.287249697948068,0.25886430878324623,0.27775884346539587,0.2406932936824476,0.2769469512618261,0.26241818749358065,0.3087792935825818,0.3046415093637964,0.24387236833428963,0.31319638805833744
2968,0.24918052212532668,0.3004896450074237,0.25656124029386496,0.28137480636326107,0.24866687123791648,0.27803965969380384,0.2637860708951293,0.3027265374526656,0.3128763593396889,0.26994223191892724,0.3628667765379776
2966,0.2561354493374531,0.3053580595070821,0.25344682337196883,0.28348189942168756,0.26684356625902433,0.2766640696245532,0.2752580710715749,0.29557792239894437,0.3056365141447312,0.29732994901007986,0.358302675363185
2964,0.26557031896037014,0.3052294495965966,0.2510125482497452,0.2834184883525937,0.27620445250098136,0.27337663984954125,0.2823730271831077,0.29232072657804564,0.2980162097406845,0.2979787676145515,0.3080650314284912
2962,0.27724377505974407,0.30766533187756484,0.25080851404788573,0.28089658855715727,0.263281976013545,0.26874367340513217,0.28316907163642685,0.2960532267027626,0.31749414442221263,0.27846907114476976,0.26819233718499963
2960,0.2842003658030866,0.3139788147323263,0.2544027002898148,0.27433427498567864,0.2399623748112415,0.2620323384499336,0.2870762984147149,0.30242765094397506,0.3569243121222197,0.27113502378529064,0.2645637630299628
2958,0.2756741864601942,0.30977525577751197,0.2535289412401024,0.2543870151598304,0.22106493843023514,0.24438651283214544,0.2895632851481133,0.29142467307710773,0.37311757971227333,0.27436820474756407,0.2570029665582015
2956,0.25165346493672364,0.28362760365766554,0.23914508749139662,0.21845836066427166,0.20417518536147766,0.2129251117847918,0.27484658645575144,0.2497880517897602,0.3462034676627511,0.25930516114335445,0.20986745567364423
2954,0.22887579656256463,0.25199779192897775,0.22450262833765297,0.19019097245891037,0.18867831423865275,0.19125596809574402,0.25140034311681464,0.20865777707195277,0.31953608346773205,0.2407127802101993,0.16713588585003844
2952,0.21651007348140344,0.23456364041338323,0.2235996386247485,0.18542061774537674,0.17667522485254217,0.196885148069567,0.23380606581602909,0.2022847451729899,0.3235295454262454,0.248388713927031,0.1734109339234125
2950,0.20938681057286512,0.22955932222659298,0.230852372660665,0.18760589310008402,0.1672787046415584,0.21586623388770568,0.21850156449832045,0.22201610395148663,0.340951340287988,0.2763408890555692,0.21596740003277873
2948,0.206391239861496,0.2278905463294754,0.23391278284427616,0.17262906346470597,0.15897911506829798,0.22228215628637432,0.1958421622804208,0.23205448123950795,0.3467067636945824,0.2945823822797415,0.2707064623985253
2946,0.21639895789172017,0.2344335210787033,0.2331875958116986,0.14547072848562656,0.15596212740876117,0.2103903028322677,0.1696713355268254,0.21670681363978728,0.33596494643761576,0.29067704900017616,0.3397927215761716
2944,0.24151459523402866,0.25950070569496114,0.23930130134313501,0.13699409933562812,0.1670694845097996,0.19521121181510162,0.1562371234150678,0.19819763983703761,0.3200648705214584,0.27761352579914794,0.42068688625017703
2942,0.27104215199601756,0.2997515241010824,0.2592071177889985,0.1684054077773752,0.19984031749253758,0.1948892655820934,0.17217349502248316,0.2141423004355287,0.32028419899806404,0.2776476087629054,0.48258421295195636
2940,0.2919344822628466,0.33275898098320533,0.2839021603603548,0.2221127819381236,0.24252022780208754,0.206951327128685,0.21086479151315013,0.2656992908929044,0.34307989345901285,0.29327200856087016,0.48738500816648395
2938,0.3029993347683265,0.3435068328974124,0.30012010302332187,0.26512744590207266,0.27302749863299025,0.2193396941305413,0.24663369138864674,0.3150256188143839,0.3666198669355468,0.3116244196854343,0.43824956236294016
2936,0.31362006597833747,0.3436905729589915,0.308180056594131,0.28798485087603426,0.28837591832120113,0.2381028693673364,0.26571451481793706,0.3391213655457611,0.3680583476282154,0.32926628179234424,0.38399264924994275
2934,0.32346382465696194,0.3443117318700087,0.3083479554277337,0.294074905327819,0.2917203463332841,0.26607078065300876,0.2646219003761856,0.33742081554711767,0.3422901945290131,0.33086238119408506,0.3491283302988419
2932,0.32383990080579167,0.3401327997207953,0.2963027662829348,0.284838381596566,0.279060334122122,0.28842558822550945,0.24693957319892712,0.3153136263959037,0.31179689700647273,0.29909075285499875,0.3158448084299513
2930,0.3153461811554658,0.3277114487365225,0.27729957042617415,0.26802008219113876,0.25393997906613036,0.2940769094433783,0.22675570587749777,0.28105512901777596,0.302326646848026,0.2517283290783515,0.2724948509253845
2928,0.3066462306276891,0.31503968958565726,0.26470914697413217,0.25924564772563263,0.234793550097919,0.2875200951831058,0.2178994732447674,0.24674301425704398,0.30334048912881506,0.22837036409898753,0.23337761485933226
2926,0.302430882223653,0.3121386601243359,0.2663931680029203,0.2664870895597125,0.23819104307666686,0.2767941724184918,0.2244687731864737,0.22759399243626507,0.28798484886177605,0.24615614950573847,0.2215560440596383
2924,0.29895824512729813,0.3166412601075162,0.2740160983339155,0.27353392443920654,0.25188166875669105,0.2566776906839168,0.23196674316017019,0.2205438387889525,0.25371716027690266,0.2697598171250387,0.2414589382185418
2922,0.2965853414198225,0.32265984921439245,0.28045081427612095,0.26602207614770806,0.2531100891910493,0.22790172959406066,0.2310037380547625,0.21269892136210633,0.23153874793883572,0.2653930608625906,0.2801299477946079
2920,0.30216056352667264,0.3307806163135753,0.29123865651683223,0.2556961762551818,0.24511987804237667,0.21081454343773234,0.23056614851315335,0.2084458065503195,0.24114528622690667,0.2442264030012179,0.3164846947578655
