Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
3000,-0.025430003619826603,-0.002010439520242032,0.013224143786168967,-0.025706174648354407,-0.009517214491895852,0.0022332218039386206,-0.021977198468532456
2998,0.00240333658843505,0.04428037511447261,0.030878899316125377,0.0017145608827486892,0.033027334163392964,0.029955963410041326,0.027588322767477753
2996,0.030845748001574042,0.06567207549523216,0.047903515530971864,0.014899011380290383,0.05980865624229036,0.03664242328317247,0.06452168101519987
2994,0.06203306323163971,0.06930243026649648,0.07399154005977725,0.028895520928853124,0.08104938921897083,0.04156278730562212,0.09016224412588056
2992,0.09135055708895604,0.07483408608845439,0.10697711270281333,0.061511160146389486,0.1080872833289613,0.0637263312966039,0.11583272905807457
2990,0.11526872249590325,0.09550099513002892,0.1347228424005787,0.11085241915123528,0.13805561015104406,0.10411368082388488,0.15023896222156571
2988,0.13681222000196322,0.1261971844956386,0.14541973241754563,0.15686582136098262,0.16011624968137128,0.14706509593044848,0.18730811580647014
2986,0.1583322061700544,0.15420277870579643,0.14223385688159906,0.18701105090511438,0.17439207687806857,0.17832222926383182,0.21673025266768606
2984,0.17528960064620153,0.1728729762564959,0.14189332333465568,0.20704613296730168,0.19035173549436396,0.1962306242030686,0.2398853842527845
2982,0.18423033240522774,0.18140678860516976,0.156325757743271,0.22442356720641948,0.21155687684515823,0.20805203902084501,0.2630673323860479
2980,0.18863209919376733,0.1805244968240825,0.18199656169634137,0.23852677972390704,0.23385724064011343,0.2183160456748918,0.282385419738642
2978,0.19414044050523707,0.17554223128646176,0.2090486581573375,0.2519766127001807,0.2568783768882406,0.22774980013384158,0.2916333535458713
2976,0.2009907486562934,0.1755829498069829,0.23091636712698152,0.2710898039683444,0.28294940741756186,0.23686494021062815,0.2939756312045315
2974,0.20611339175005466,0.18592830786368106,0.24586611211676787,0.2921035144471563,0.30614377641114204,0.2439073091179331,0.29682966158406004
2972,0.21414858403566067,0.20705499760842463,0.2584131435486435,0.30627051968306807,0.3202506919696908,0.2538626830052003,0.31104435862013013
