Wavenumbercm-1,2.72e+01 M,2.18e+01 M,1.81e+01 M,1.36e+01 M,1.09e+01 M,9.07e+00 M,6.80e+00 M,5.44e+00 M,4.53e+00 M,3.63e+00 M,2.72e+00 M
3000,-3.4578681224250004e-05,-0.000917748446230875,-0.0014766056660187,-0.0022437562960891002,-0.003066603224257667,-0.0034778946024797666,-0.004260803405814033,-0.004857730973518449,-0.00674199892256245,4.1825901884850005e-05,0.0014523408675106
2998,-4.318628947368199e-05,-0.0008404935057513,-0.0013085621970156333,-0.0021875584258571664,-0.002977398873430634,-0.0033461999459664664,-0.0041790763055886,-0.00471824090333005,-0.00663113326521855,0.00011315397232555,0.0015423216454013
2996,-6.143512961288199e-05,-0.00076506140465485,-0.0011972566631422998,-0.0021337083599619667,-0.0029364553016471336,-0.0032647529316951,-0.0041608493813753335,-0.00464348017948695,-0.006546748745292,0.00019818593859194996,0.0016513207837091
2994,-0.00010140845540664489,-0.000663785629961825,-0.0011309596237217001,-0.002046089305287033,-0.0028927606366813668,-0.0032009678584171,-0.004147953588461933,-0.004600389085160399,-0.0064930064670048505,0.0002947275487307499,0.0017859549558969
2992,-0.0001567551392342665,-0.0005586916422008676,-0.0010684815292691665,-0.0019327709139204668,-0.002785951129515967,-0.0031187044383636665,-0.004083007454894334,-0.0045362338519355505,-0.006425945828804149,0.0004199778955497499,0.0019556882996028
2990,-0.000203682706143225,-0.0004765734554619664,-0.0009799835304072334,-0.0018389753129583002,-0.0026224464809614,-0.0030271009874131,-0.003963050828369333,-0.0044360958055548,-0.0063084675132948995,0.0005696223718819,0.0021216114920233
2988,-0.000221132029121375,-0.00040542581670510003,-0.0008770618348753334,-0.0018087010391991999,-0.0024702272677704002,-0.0029607056379710333,-0.003835354189530033,-0.00433815305788555,-0.00616656533787825,0.0006817264107759499,0.0022056556721225
2986,-0.00020434620080399997,-0.00033146616784182967,-0.0007915577043043666,-0.0018301515998527,-0.0023718049895094,-0.0029191268765228,-0.003742957740101966,-0.00427524938133455,-0.00605941485841935,0.00068880388157265,0.0021705984709078
2984,-0.00016212061179535784,-0.0002833913932542578,-0.0007399400278266334,-0.0018410002446678335,-0.0023076611173104,-0.002872182280805,-0.0036908554989152,-0.0042297363739133,-0.006007882374191149,0.0006019749873683,0.00206624722738
2982,-0.00011745040839118724,-0.00028458629781710006,-0.0007168559820567667,-0.0017968060804566665,-0.0022525329201676,-0.0028085186822573997,-0.0036571269206839333,-0.004172172506357,-0.0059829815199865,0.00051156747867375,0.0019840706989101
2980,-9.8814243229816e-05,-0.0003047882440043,-0.0007149792018007,-0.0017107382051086333,-0.0022085111384820334,-0.0027413655763319,-0.003628098785855467,-0.0041146949635375,-0.00595454638604735,0.00049125322980145,0.0019727476541365
