Wavenumbercm-1,00:02:32,00:05:32,00:08:32,00:11:32,00:14:32,00:30:55,00:33:54,00:36:55,00:39:55,00:42:55,00:45:55,00:48:55,00:51:55,00:54:55,00:57:54,01:00:55,01:03:55,01:06:55,01:09:55,01:12:55,01:15:55,01:18:55,01:21:56,01:24:56,01:27:55,01:30:55,01:37:04,01:40:04,01:43:04,01:46:04
3000,0.050915237283326,0.0504186366714192,0.0500486816814521,0.0496476883266227,0.0489781135293156,0.0496360860116869,0.0492974881074833,0.0495858772543075,0.0488868714797273,0.048866181360838,0.0486935491771662,0.0483688258591846,0.0479401965899638,0.0478361276783719,0.0472282829625535,0.0473014547305713,0.0471468716498898,0.0471392422430737,0.0467419697027431,0.0465615232625315,0.0461638711861873,0.0461931558940502,0.045736981718108,0.0455607176183163,0.0453080997785052,0.0450588580457621,0.0420414234529714,0.0486813557279857,0.0519865754196425,0.0517444805394399
2998,0.0486640391984186,0.0480760629999535,0.0477582553568676,0.0473375762211801,0.046632593246072,0.0475135762488837,0.0470987966183858,0.0474017387979677,0.0467404658632561,0.0466707672839531,0.0466695894624797,0.0460999221885774,0.0457251224451868,0.0456187892894001,0.0450299225811586,0.0451424872187066,0.0449019027805787,0.0450195509974786,0.0445186819178896,0.0444296764474682,0.0440101327490211,0.0438962204902383,0.0435629270447106,0.0433615269492046,0.0432063307112925,0.042910219868929,0.0398318530677911,0.0465272441529907,0.0497034032588177,0.04954449137898
2996,0.0457600649335292,0.0451170025511334,0.0447803785104029,0.0443129076303403,0.0436484432707067,0.0447142269753999,0.0442941681563021,0.0444990101228291,0.0439752798287658,0.0437115732966212,0.043883447493079,0.0431627661116301,0.0428758057645517,0.0427223736518252,0.0421293621454536,0.042211257311164,0.0420120852463339,0.0421849564643432,0.0416117095575896,0.0415711457908748,0.0411747200055372,0.0408817829602019,0.0406230194980278,0.0404530218487691,0.0403680648641856,0.0401274532867229,0.0368870962946217,0.0437190031808042,0.0467854157683084,0.0467053443196735
2994,0.0425062479727647,0.041827450919526,0.0414665069903661,0.0409266306475256,0.0404027964536821,0.0416003109577638,0.0412309878136631,0.0412432326068525,0.0409018300968564,0.0404007636077081,0.040653880188127,0.0399437013156149,0.039725470152046,0.0395419133803346,0.0389108955329926,0.0389133179303616,0.0388468573904583,0.0389634972280843,0.0384142325927897,0.0383687193677313,0.037997940654624,0.037576169187011,0.0373313821568358,0.0371999975450302,0.0371654594605534,0.0369910299304139,0.0335891923114808,0.0405304168494349,0.0436252734239311,0.0435690725438492
2992,0.039191756529313,0.0384476160774816,0.0381298617195222,0.0375003725683131,0.0371454891202261,0.0384389688299752,0.0381282731535721,0.03794912977899,0.0377628633065428,0.0371248106062028,0.037329352088122,0.0367339032990206,0.0365401698187479,0.0363500847291452,0.0357183011109457,0.0356500389295849,0.0356962771595966,0.0356868126918837,0.0352189433839981,0.0351606011977023,0.0347784493059055,0.0343080956208844,0.0340869032972022,0.0339514667710615,0.0339243792508508,0.0337746678549955,0.0303217542131796,0.0372722700918589,0.0405159994250241,0.0404298451624946
2990,0.0360502687094317,0.0351987211865484,0.0349832506242976,0.0342995864808447,0.0340297587889736,0.0354201652024421,0.0351199696481714,0.0348703703642603,0.034745986066058,0.0341153980971473,0.0342085836148444,0.0336977745105598,0.0335167337437132,0.0332784841761235,0.0327340280150562,0.0326774104360212,0.0327311404753098,0.0326074328357318,0.0321788196364387,0.0321423629348616,0.0317357172285149,0.0312824446455987,0.0311026040100498,0.0309360466994804,0.0308650406022576,0.0307306718707151,0.0273256720155427,0.0342186847628025,0.037593838893809,0.0374582509484472
2988,0.0332359068038755,0.0323036154811838,0.0321422014511716,0.0315202539263092,0.0312004988891193,0.0327161836950699,0.0323732196837791,0.032174900244237,0.0320104546531943,0.0314453179751096,0.0314779212013393,0.030934827707883,0.0307706377363936,0.030433310772395,0.0300312465292987,0.030064242435374,0.0300587085662853,0.0298666239367348,0.0293938513230151,0.0294222871606062,0.029018265738842,0.0286031535629715,0.0284373974638656,0.02824323923012,0.0281237075436217,0.0280357830282929,0.0246743391854634,0.031509654396351,0.0348970513147138,0.034727282116879
2986,0.0307272626178438,0.0298322646987668,0.0295954605996785,0.0291506341478834,0.0286775380491552,0.0303476186220776,0.0299664327810662,0.0298055527437222,0.0295694594195394,0.0290476011660323,0.0291005214520565,0.02846600532264,0.0282657225855833,0.0278700724427599,0.0276016784446924,0.0276879898090509,0.0276871719282698,0.0274267808817536,0.0268966231411761,0.0270114704980432,0.0266067960157242,0.0262085547211802,0.026048031193331,0.0258213443321549,0.0256896603388702,0.0256712900991911,0.0222713836176644,0.0290647726193534,0.0323743385774862,0.032201350187755
2984,0.0285539316204521,0.027804474037365,0.0274218370891132,0.0271515521056524,0.0264773045447424,0.0283091025026453,0.0279439026082693,0.0277164020710901,0.0274605857871999,0.0269678124786931,0.0270369896254501,0.0263978956465794,0.0260604518935741,0.025703859700666,0.0255405152551109,0.0255461400283147,0.0256755693394662,0.0253081547016014,0.0247952423115469,0.0249652641192597,0.0245092924748931,0.0241057187611502,0.0239976302420341,0.0237222731721439,0.0236083927299115,0.0236444645454318,0.0201299093560679,0.0268701405582546,0.0301239480663641,0.0299613165523211
2982,0.026758129892433,0.0261187359548312,0.0256636463645407,0.0254458870106529,0.0245997811486603,0.0265476312419759,0.0262520165148565,0.0259184267592615,0.0257061058110647,0.0252422608905278,0.025243215994254,0.0247462416142047,0.0242523910764939,0.0239530997099482,0.0238615499735337,0.0237212635500891,0.0240017383578912,0.0235524713025941,0.0231128127560822,0.0232513105365683,0.0227300492023883,0.0223285989711061,0.0223121217064706,0.0219751889094819,0.0219085665058153,0.0219484119150938,0.0183137254729444,0.0249787962322222,0.0282724391531366,0.0280981209129158
